Txhash,ContractAddress,ContractName
0xfeeb35d2926b2d2e48046524e0d4a714e6392bc50638c753724201d97c4e393f,0x40e5520cdba18d1724b0ddd54f73b1256f94e153,Sapiens
0x1795342e03b72dfd92c9a5a0bab47d39b02db9e09163459ec3a768e7950d1650,0x4b6c1d35d5ee3f492c7c55cd70a1426a15a4e819,ORDIPEPE
0x8a1e999000c2ab6941638735c4557bfd1ef85d676204ebba3a94d58c52161bfa,0x8fdb15837324116e66a906395164b68c319d4b75,HappyNewYear
0x42d49605d5f4b1975a41a1e4fc21c2836ab22bb01b3cae97302c12e1f2fdfcdc,0x4541c7FAdDD0f2c824F8d7952F676E89f796DF4e,StraightSale
0xfdd52ced939eb0bb851a32cc6e59e4d3953fc47de6730854bcc57282d386a11e,0x5af4a527acbe61383a2d480baff08d2c75e999a7,MOUSE
0xaeda77d76e7767e90c330c11c69fa8f3c132ff9f1a655e6bea2bf94cd29e6729,0x08Eb5160d80B26881d82abdF176487E5b967a6e9,HappyNewYear
0xa4f70bff2cc3ef904c99fed25484fafd77e4717bdf08dcd5da0b14186afc9333,0x39022b55287C5eB9F87CdF119bb43423FaA41B83,FungToken
0x3935fceb6d375ecb02f576eefe93d1362e3b20442809b2c2f28780818f385062,0x01c0f38ca0dc7fde5d431e4f7032fd95511f81c5,Fantasies
0x307e7ca0c4ddc8b779b69fa14ab64d969f1ea0e03c40e35d5a5bb06474d3a304,0x2e99fcdca564a03bb3e89c2c8ca30f33b18cf514,PresaleUSDT
0xcb1cd715fd98bf76acec249e9a4e12c8a5fd68580faa265073552d7036c3f3ea,0xd49eae3bfd0880bf3acc8468ceaaa4ab70af23a0,Presale
0x22222d0489adf68ab6187dc4b22cf764da582752656dbeb6ff595e515bfa59d3,0xf3caff84707b4b3e555fe4e491d6d83aeddce53b,FLOKIFOX
0x0d67e100b93200bac38512a927c6d687e26be519ae25d4469162bdca0c433666,0x926ff6584b5905cc793cfb19bfc0ad6443671f47,PABLODEFI
0x92a1f1c085730714a6b35750c08f41df187a2074fd8a5f0ada69ccff4c2a7c8b,0xdecaa9ad5d02a0c8621e6e35354fa640bebc85ae,Japan
0x3868cab1054b204f871bd3813378962473d3f8a640b07567f3717e125750cf33,0xb37332acbf5e05a7d1f10aee16cfd92301814030,CommunityDragon
0x39347ef092eb51c35756094356f0f041360fb647a5f340e72794b6c69cf7fd9a,0x75be0a40c04eae65331d0e371b5420f6be6cde05,Trackr
0x135393b91e90cd3532845944e51c9149ef4d17c4316ff365a6162f5e7eaafa57,0xdc95924206b53fd62362b18b1cd2c5cae8903a3c,Antidote
0xdcc207be4a281352579b8c73993dee6e4d07947987d9131269b1a44a03b9d099,0xd5DA88974f039cF68e2469737269cDBe040ADF72,p
0x84e2b8dae072b13c446eebfaeceb788524c260c3be6b703dc3a90a1a8f15a564,0xE80309335ebc39AA800F5183A68F81d17a87636E,Token
0xb999025bb4263b7fb4819f8edd9c81fa7e3deb894b593d044b4b73a383c3baef,0xb54e7836248467027018ba6e76d6e4227fe24c38,FUCKTRB
0xe642aa97e8528c8b072499b186e5acfb0716ffb0c992f6128c3854f98c53477a,0x13649100186c2e2e656af7b1f9237d156b16b48b,ONOTHERONE
0xa329307347751161e01bc8734da74830056a79a5f9568966b3c9dd9c19936db7,0x00ef16dd20a72daae3ef1c81d09c6527f9adb0e8,PEPEFOX
0xe8096e6ed991a630595f5c331c02bba240d248f6ad40b2ccb08c0c6f8cc03d04,0x32a8382dc0f05c403a5ceb727b6bf3c53f3001ce,Trackr
0xc0e3a4acb4e367234530e598168864b7a334ab3d02660a2dcb581d44ce29e5ad,0xf178c63ede532cf9e0eea012d10f824e3e8ac990,ForestDUMP
0x1e5a04dfc301d3da6f489f29936a5c428e267a2e81d6fd4d380d099d7b00f586,0xab060719bd94f1f810e46940bcd2724190359f24,BILLIE
0xa9558afa8e8727c4a1cb1f285f4a83b59ea09dc1ffa0ba751530465ece31f4cb,0xff25e42dfe1c2fca3742656c19a0d1928f02def9,PopcornToken
0x7bfca081d5d8c370f29b3d97a0de92f0bf1f4e3b12d8aaeceedb909b76a9a8f5,0xdada4f568bcaa32ba4a99cf27bc97014bc973070,GrokJackpot
0x461b4d877601a415ae124e0273f1b10b5e8848afed7ed3b6f4cfc59b982b543e,0x2dfe0d7cc7737c1555130a53d15feb687612506c,BUSYBOT
0xa878ea049e668c7249ffb82912049ad5d9a1668c6476b3cf543f95328b8a8f92,0x4a9c6dbedc8442c35f75e1ca134b4f45b84c23d7,UPSHOT
0x6722a8f2dcb47375b42eb8de8c029071325d5152773ed4ef309794e82f9fba1c,0xE2A8a1d4d07365e0B0FF58DE3b363C685Fe72480,TheFireWithinByRoi
0x1e3fc64fc1f455f62658df658bcf5dfdc92ca2f6d34c7ff7f03580e363274b0e,0x6eee4249c13a38b36141490a69fd2c07423482dd,NodePunkes
0xb5a8f338249c0d39a9ea693609a7e2fb926378c10ed77358403690cccbe5dcd3,0x36e6b1e11acd17ac55a1615f50c49fe9afa5abdb,RecyclableCappedToken
